client_name,policy_type,client_email,client_phone,expiration_date,carrier,premium
Coastal Cafe Group,Public Liability,accounts@coastalcafe.com.au,0412 881 234,2026-06-18,CGU Insurance,1850
Greystone Plumbing Pty Ltd,Business Pack,admin@greystoneplumbing.com.au,0421 554 877,2026-06-18,Allianz Australia,3400
Dr. Natalie Osei,Professional Indemnity,n.osei@osei-medical.com.au,0431 229 003,2026-06-18,QBE Insurance,5800
Westbrook Retail Holdings,Commercial Property,accounts@westbrookretail.com.au,0400 772 115,2026-06-18,Vero Insurance,12400
Clearfield Landscaping Co,Public Liability,office@clearfieldlandscaping.com.au,0455 339 880,2026-06-18,Suncorp,2200
Pinnacle Aged Care Services,Management Liability,finance@pinnacleagedcare.com.au,0418 663 417,2026-06-18,Chubb Australia,9100
Blue Ridge Bakery,Business Pack,info@blueridgebakery.com.au,0427 118 562,2026-06-18,IAG,2750
Nexora Digital Pty Ltd,Cyber Liability,admin@nexoradigital.com.au,0402 994 331,2026-06-18,Beazley,6500
Hughes & Partners Legal,Professional Indemnity,accounts@hughesp.com.au,0444 220 798,2026-06-18,Berkshire Hathaway Specialty,14200
Ironside Constructions,Public Liability,office@ironsideconstructions.com.au,0411 885 240,2026-06-18,CGU Insurance,3100
Harbour Lane Florist,Business Pack,hello@harbourlane.com.au,0438 772 103,2026-05-19,Allianz Australia,1600
Dune & Coast Realty,Commercial Property,admin@dunecoastrealty.com.au,0422 445 981,2026-05-19,Vero Insurance,8900
Starfield Events Management,Public Liability,events@starfieldevents.com.au,0415 330 672,2026-05-19,Suncorp,2050
Millbrook Accounting Group,Professional Indemnity,contact@millbrookaccounting.com.au,0401 558 234,2026-05-19,QBE Insurance,4300
Redwood Auto Repairs,Business Pack,service@redwoodauto.com.au,0428 119 447,2026-05-19,IAG,3700
Soho Property Developments,Management Liability,finance@sohoproperty.com.au,0439 882 006,2026-05-19,Chubb Australia,11500
Trinity Child Care Centre,Public Liability,admin@trinitychild.com.au,0416 663 889,2026-05-19,CGU Insurance,2900
Specter Analytics Pty Ltd,Cyber Liability,it@specteranalytics.com.au,0403 774 512,2026-05-19,Beazley,5200
Goldfield Storage Solutions,Commercial Property,operations@goldfieldstorage.com.au,0450 221 338,2026-05-19,Vero Insurance,7600
Ashwood Engineering Consultants,Professional Indemnity,admin@ashwoodeng.com.au,0423 997 154,2026-05-19,QBE Insurance,6800
