client_name,policy_type,client_email,client_phone,expiration_date,carrier,premium
Thornton & Associates Advisory,Professional Indemnity,accounts@thorntonassoc.com.au,0412 774 381,2026-07-19,QBE Insurance,7200
Ridgeline Civil Contractors,Public Liability,admin@ridgelinecivil.com.au,0421 883 542,2026-07-19,CGU Insurance,4100
Sunrise Early Learning Centre,Public Liability,director@sunriseel.com.au,0438 992 107,2026-07-19,Suncorp,2600
Halcyon Hotels Group,Commercial Property,finance@halcyonhotels.com.au,0405 661 230,2026-08-18,Vero Insurance,18500
Prestige Auto Detailing,Business Pack,hello@prestigeautodetail.com.au,0429 447 863,2026-08-18,Allianz Australia,2100
Bayside Physiotherapy Clinic,Professional Indemnity,reception@baysidephysio.com.au,0416 335 774,2026-08-18,Berkshire Hathaway Specialty,5400
Opal Ridge Mining Services,Management Liability,legal@opalridgemining.com.au,0443 118 629,2026-09-18,Chubb Australia,14800
FreshRoute Logistics Pty Ltd,Commercial Motor,ops@freshroutelogistics.com.au,0402 556 911,2026-09-18,IAG,6300
Meridian Dental Group,Professional Indemnity,billing@meridiandental.com.au,0431 774 025,2026-04-19,QBE Insurance,8900
Blackwood Craft Brewery,Business Pack,info@blackwoodbrewery.com.au,0458 223 847,2026-04-19,Allianz Australia,3300
